	Word	Pos_tag
4924	thu	V
4925	từng	R
4926	biếc	N
4927	xen	V
4928	hồng	N
4929	.	CH
4930	Nghe	V
4931	chim	N
4932	như	C
4933	nhắc	V
4934	tấm	Nc
4935	lòng	N
4936	thần_hôn	V
4937	.	CH
4938	Những	L
4939	là	V
4940	lạ	A
4941	nước	N
4942	lạ	A
4943	non	A
4944	. Lâm_Truy	V
4945	vừa	R
4946	một	M
4947	tháng	N
4948	tròn	A
4949	tới nơi	V
4950	. Xe_châu	N
4951	dừng	V
4952	bánh	N
4953	cửa	N
4954	ngoài	E
4955	. Rèm	N
4956	trong	E
4957	đã	R
4958	thấy	V
4959	một	M
4960	người	N
4961	bước	V
4962	ra	V
4963	. Thoắt	V
4964	trông	V
4965	nhờn_nhợt	V
4966	màu_da	A
4967	.	CH
4968	ăn	V
4969	gì	P
4970	cao_lớn	N
4971	đẫy_đà	V
4972	làm_sao	N
4973	!	CH
4974	.	CH
4975	Trước	E
4976	xe_lơi_lả	N
4977	han	V
4978	chào	V
4979	. Vâng_lời	N
4980	nàng	N
4981	mới	R
4982	bước	V
4983	vào	E
4984	tận	T
4985	nơi	N
4986	.	CH
4987	Bên	N
4988	thì	C
4989	mấy	L
4990	ả	N
4991	mày_ngài	V
4992	.	CH
4993	Bên	N
4994	thì	C
4995	ngồi	V
4996	bốn	M
4997	năm	N
4998	người	N
4999	làng_chơi	V
5000	.	CH
5001	Giữa	N
5002	thì	C
5003	hương_án	V
5004	hẳn_hoi	V
5005	.	CH
5006	Trên	E
5007	treo	V
5008	một	M
5009	tượng	N
5010	trắng	A
5011	đôi	M
5012	lông_mày	N
5013	. Lầu_xanh	N
5014	quen	V
5015	lối	N
5016	xưa_nay	N
5017	. Nghề	N
5018	này	P
5019	thì	C
5020	lấy	V
5021	ông	Nc
5022	này	P
5023	tiên_sư	V
5024	. Hương	N
5025	hôm	N
5026	hoa	N
5027	sớm	A
5028	phụng_thờ	V
5029	. Cô	N
5030	nào	P
5031	xấu_vía	V
5032	có	V
5033	thưa	V
5034	mối_hàng	N
5035	. Cởi	V
5036	xiêm	N
5037	lột	V
5038	áo	N
5039	sỗ_sàng	N
5040	.	CH
5041	Trước	E
5042	thần	N
5043	sẽ	R
5044	nguyện	V
5045	mảnh	Nc
5046	hương	N
5047	lầm_rầm	N
5048	. Đổi	V
5049	hoa	N
5050	lót	V
5051	xuống	V
5052	chiếu	N
5053	nằm	V
5054	. Bướm	Nc
5055	hoa	N
5056	bay	V
5057	lại	R
5058	ầm_ầm	V
5059	tứ_vi	N
5060	!	CH
5061	. Kiều	N
5062	còn	R
5063	ngơ_ngẩn	V
5064	biết	V
5065	gì	P
5066	. Cứ	V
5067	lời	N
5068	lạy	V
5069	xuống	V
5070	mụ	N
5071	thì	C
5072	khấn	V
5073	ngay	T
5074	. Cửa_hàng	N
5075	buôn_bán	V
5076	cho	E
5077	may	V
5078	. Đêm_đêm Hàn_thực	N
5079	ngày_ngày	N
5080	Nguyên_tiêu	Np
5081	. Muôn_nghìn	V
5082	người	N
5083	thấy	V
5084	cũng	R
5085	yêu	V
5086	. Xôn_xao	N
5087	oanh_yến	N
5088	rập	V
5089	rìu	N
5090	trúc_mai	V
5091	. Tin_nhạn	N
5092	vẩn	V
5093	lá	Nc
5094	thư	N
5095	bài	N
5096	. Đưa	N
5097	người	Nc
5098	cửa	N
5099	trước	N
5100	rước	V
5101	người	Nc
5102	cửa	N
5103	sau	N
5104	. Lạ_tai	N
5105	nghe	V
5106	chửa	V
5107	biết	V
5108	đâu	P
5109	. Xem	V
5110	tình	N
5111	ra	V
5112	cũng	R
5113	những	L
5114	màu	N
5115	dở_dang	N
5116	. Lễ	V
5117	xong	R
5118	hương_hỏa	V
5119	gia_đường	N
5120	. Tú_Bà	V
5121	vắt_nóc	V
5122	lên	V
5123	giường	N
5124	ngồi	V
5125	ngay	T
5126	. Dạy	V
5127	rằng	C
5128	Con	N
5129	lạy	V
5130	mẹ	N
5131	đây	P
5132	. Lạy	V
5133	rồi	C
5134	sang	V
5135	lạy	V
5136	cậu	Nc
5137	mày	P
5138	bên	N
5139	kia	P
5140	. Nàng	V
5141	rằng	C
5142	Phải	V
5143	bước	V
5144	lưu_ly	V
5145	. Phận_hèn	N
5146	vâng	N
5147	đã	R
5148	cam_bề	V
5149	tiểu_tinh	V
5150	. Điều	N
5151	đâu	P
5152	lấy	V
5153	yến	N
5154	làm	V
5155	oanh	V
5156	. Ngây_thơ	N
5157	chẳng	R
5158	biết	V
5159	là	V
5160	danh_phận	N
5161	gì	P
5162	. Đủ_điều	N
5163	nạp_thái	V
5164	vu_qui	N
5165	.	CH
5166	Đã	R
5167	khi	N
5168	chung_chạ	V
5169	lại	R
5170	khi	N
5171	đứng	V
5172	ngồi	V
5173	. Giờ	V
5174	ra	V
5175	thay_mặt	N
5176	đổi_ngôi	V
5177	. Dám_xin	N
5178	gửi	V
5179	lại	V
5180	một	M
5181	lời	N
5182	cho	E
5183	minh	V
5184	. Mụ	N
5185	nghe	V
5186	nàng	N
5187	nói	V
5188	hay	C
5189	tình	N
5190	. Bấy_giờ	N
5191	mới	R
5192	nổi_tam_bành	V
5193	mụ	V
5194	lên	V
5195	.	CH
5196	Này	P
5197	này	P
5198	sự	N
5199	đã	R
5200	quả_nhiên	V
5201	.	CH
5202	Thôi	V
5203	đà	N
5204	cướp_sống	V
5205	chồng	N
5206	min	V
5207	đi	V
5208	rồi	C
5209	. Bảo	V
5210	rằng	C
5211	đi	V
5212	dạo	V
5213	lấy	V
5214	người	N
5215	. Đem_về	V
5216	rước	V
5217	khách	N
5218	kiếm	V
5219	lời	N
5220	mà	C
5221	ăn	V
5222	. Tuồng	V
5223	vô_nghĩa	N
5224	ở	E
5225	bất_nhân	N
5226	. Buồn_mình	V
5227	trước	N
5228	đã	R
5229	tần_mần	V
5230	thử	V
5231	chơi	V
5232	. Màu_hồ	N
5233	đã	R
5234	mất	V
5235	đi	V
5236	rồi	C
5237	. Thôi_thôi	V
5238	vốn_liếng	N
5239	đi	V
5240	đời	N
5241	nhà	N
5242	ma	N
5243	!	CH
5244	. Con	N
5245	kia	P
5246	đã	R
5247	bán	V
5248	cho	E
5249	ta	P
5250	. Nhập	V
5251	ra	V
5252	phải	V
5253	cứ	R
5254	phép	N
5255	nhà	N
5256	tao	P
5257	đây	P
5258	. Lão	N
5259	kia	P
5260	có	V
5261	giở	V
5262	bài_bây	N
5263	. Chẳng	V
5264	văng	V
5265	vào	E
5266	mặt	N
5267	mà	C
5268	mày	P
5269	lại	R
5270	nghe	V
5271	. Cớ_sao	V
5272	chịu_tốt	N
5273	một_bề	V
5274	. Gái_tơ	N
5275	mà	C
5276	đã	R
5277	ngứa_nghề	V
5278	sớm	A
5279	sao	P
5280	.	CH
5281	Phải	V
5282	làm	V
5283	cho	V
5284	biết	V
5285	phép	N
5286	tao	P
5287	!	CH
5288	. Chập	V
5289	bì_tiên	N
5290	rắp	V
5291	sấn	V
5292	vào	V
5293	ra	V
5294	tay	N
5295	. Nàng	V
5296	rằng	C
5297	Trời	N
5298	thẳm	A
5299	đất	N
5300	dày	A
5301	!	CH
5302	. Thân	N
5303	này	P
5304	đã	R
5305	bỏ	V
5306	những	L
5307	ngày	N
5308	ra	V
5309	đi	V
5310	.	CH
5311	Thôi	V
5312	thì	C
5313	thôi	T
5314	có	V
5315	tiếc	V
5316	gì	T
5317	!	CH
5318	.	CH
5319	Sẵn	Np
5320	dao	N
5321	tay_áo	N
5322	tức	V
5323	thì	C
5324	giở	V
5325	ra	V
5326	. Sợ	V
5327	gan	N
5328	nát	A
5329	ngọc	N
5330	liều	V
5331	hoa	N
5332	!	CH
5333	. Mụ	N
5334	còn	R
5335	trông	V
5336	mặt	N
5337	nàng	N
5338	đà	A
5339	quá	R
5340	tay	N
5341	. Thương_ôi	V
5342	tài_sắc	N
5343	bậc	N
5344	này	P
5345	.	CH
5346	Một	M
5347	dao	N
5348	oan_nghiệt	N
5349	đứt	V
5350	dây	N
5351	phong_trần	N
5352	. Nỗi_oan	V
5353	vỡ_lở	N
5354	xa_gần	N
5355	. Trong	V
5356	nhà	N
5357	người	N
5358	chật	A
5359	một	M
5360	lần	N
5361	như	C
5362	nêm	N
5363	. Nàng	N
5364	thì	C
5365	bằn_bặt	V
5366	giấc_tiên	V
5367	. Mụ	N
5368	thì	C
5369	cầm_cập	V
5370	mặt	N
5371	nhìn	V
5372	hồn	N
5373	bay	V
5374	. Vực	V
5375	nàng	N
5376	vào	E
5377	chốn	N
5378	hiên	N
5379	tây	N
5380	. Cắt	V
5381	người	N
5382	coi_sóc	V
5383	chạy thầy	V
5384	thuốc_thang	N
5385	. Nào_hay	V
5386	chưa	R
5387	hết	V
5388	trần_duyên	N
5389	. Trong	V
5390	mê	V
5391	dường	N
5392	đã	R
5393	đứng	V
5394	bên	N
5395	một	M
5396	nàng	N
5397	. Rỉ	V
5398	rằng	C
5399	Nhân_quả	Np
5400	dở_dang	V
5401	.	CH
5402	Đã	R
5403	toan	V
5404	trốn	V
5405	nợ	N
5406	đoạn_trường	V
5407	được	V
5408	sao	P
5409	. Số	N
5410	còn	R
5411	nặng_nợ	V
5412	má_đào	V
5413	.	CH
5414	Người	Nc
5415	dầu	N
5416	muốn	V
5417	quyết	V
5418	trời	N
5419	nào	P
5420	đã	R
5421	cho	V
5422	. Hãy	V
5423	xin	V
5424	hết_kiếp	V
5425	liễu_bồ	N
5426	. Sông Tiền_đường	V
5427	sẽ	R
5428	hẹn_hò	V
5429	về	E
5430	sau	N
5431	. Thuốc_thang	N
5432	suốt	A
5433	một	M
5434	ngày	N
5435	thâu	M
5436	. Giấc	N
5437	mê	V
5438	nghe	V
5439	đã	R
5440	dàu_dàu	V
5441	vừa	R
5442	tan	V
5443	. Tú_bà	N
5444	chực	V
5445	sẵn	A
5446	bên	N
5447	màn	N
5448	. Lựa	V
5449	lời	N
5450	khuyên_giải	V
5451	mơn_man	N
5452	gỡ	V
5453	dần	R
5454	.	CH
5455	Một	M
5456	người	N
5457	dễ	A
5458	có	V
5459	mấy	L
5460	thân	N
5461	!	CH
5462	. Hoa	N
5463	xuân	N
5464	đương	V
5465	nhụy	N
5466	ngày_xuân	N
5467	còn	R
5468	dài	A
5469	.	CH
5470	Cũng	R
5471	là	V
5472	lỡ	V
5473	một	M
5474	lầm	N
5475	hai	M
5476	. Đá_vàng	N
5477	sao_nỡ	V
5478	ép_nài	N
5479	mưa	V
5480	mây	N
5481	!	CH
5482	. Lỡ	V
5483	chưn	N
5484	trót	N
5485	đã	R
5486	vào	V
5487	đây	P
5488	. Khóa	V
5489	buồng_xuân	N
5490	để	E
5491	đợi	V
5492	ngày	N
5493	đào_non	M
5494	.	CH
5495	Người	Nc
5496	còn	R
5497	thì	C
5498	của	E
5499	hãy	R
5500	còn	R
5501	. Tìm	V
5502	nơi	N
5503	xứng_đáng	V
5504	là	V
5505	con_cái	N
5506	nhà	N
5507	. Làm_chi	V
5508	tội	N
5509	báo_oán	V
5510	gia	N
5511	. Thiệt	V
5512	mình	P
5513	mà	C
5514	hại	V
5515	đến	E
5516	ta	P
5517	hay	C
5518	gì	P
5519	\	V
5520	. Kề	V
5521	tai	N
5522	mấy	L
5523	mỗi	L
5524	nằn_nì	N
5525	. Nàng	N
5526	nghe	V
5527	dường	N
5528	cũng	R
5529	thị_phi	V
5530	rạch_ròi	N
5531	. Vả_suy	V
5532	thần_mộng	V
5533	mấy	L
5534	lời	N
5535	. Túc_nhân	V
5536	âu	N
5537	cũng	R
5538	có	V
5539	trời	N
5540	ở	V
5541	trong	E
5542	. Kiếp	N
5543	này	P
5544	nợ	N
5545	trả	V
5546	chưa	R
5547	xong	V
5548	. Làm_chi	V
5549	thêm	V
5550	một	M
5551	nợ	N
5552	chồng	N
5553	kiếp	V
5554	sau	N
5555	!	CH
5556	. Lặng	N
5557	nghe	V
5558	thấm_thía	N
5559	gót_đầu	N
5560	. Thưa	V
5561	rằng	C
5562	Ai	P
5563	có	V
5564	muốn	V
5565	đâu	P
5566	thế_này	V
5567	.	CH
5568	được	V
5569	như	C
5570	lời	N
5571	thế_là	V
5572	may	A
5573	. Hẳn	V
5574	rằng	C
5575	mai	N
5576	có	V
5577	như	C
5578	rày	V
5579	cho	E
5580	chăng	R
5581	!	CH
5582	. Sợ	V
5583	khi	N
5584	ong_bướm	V
5585	đãi_đằng	N
5586	.	CH
5587	Đến	V
5588	điều	N
5589	sống	V
5590	đục	A
5591	sao	P
5592	bằng	E
5593	thác	N
5594	trong	E
5595	!	CH
5596	. Mụ	V
5597	rằng	C
5598	Con	Np
5599	hãy	R
5600	thong_dong	V
5601	. Phải_điều	A
5602	lòng	N
5603	lại	R
5604	dối	V
5605	lòng	N
5606	mà	C
5607	chơi	V
5608	!	CH
5609	. Mai_sau	V
5610	ở	E
5611	chẳng	R
5612	như	C
5613	lời	N
5614	. Trên	V
5615	đầu	N
5616	có	V
5617	bóng	N
5618	mặt_trời	V
5619	rạng_soi	N
5620	.	CH
5621	Thấy	V
5622	lời	N
5623	quyết_đoán	V
5624	hẳn_hoi	V
5625	. Đành_lòng	N
5626	nàng	N
5627	cũng	R
5628	sẽ	R
5629	nguôi_nguôi	V
5630	dần	R
5631	.	CH
5632	Trước	E
5633	lầu	N
5634	Ngưng	Np
5635	bích	V
5636	khóa	N
5637	xuân	N
5638	. Vẻ	V
5639	non	A
5640	xa	A
5641	tấm	Nc
5642	trăng	N
5643	gần	A
5644	ở	V
5645	chung	A
5646	. Bốn_bề	V
5647	bát_ngát	N
5648	xa	A
5649	trông	V
5650	. Cát_vàng	V
5651	cồn	N
5652	nọ	P
5653	bụi_hồng	V
5654	dặm	N
5655	kia	P
5656	. Bẽ_bàng	V
5657	mây	N
5658	sớm	A
5659	đèn	N
5660	khuya	A
5661	. Nửa	V
5662	tình	N
5663	nửa	L
5664	cảnh	N
5665	như	C
5666	chia	V
5667	tấm	Nc
5668	lòng	N
5669	. Tưởng	V
5670	người	N
5671	dưới	E
5672	nguyệt	N
5673	chén_đồng	N
5674	. Tin_sương	V
5675	luống	V
5676	những	L
5677	rày	N
5678	trông	V
5679	mai	N
5680	chờ	V
5681	.	CH
5682	Bên	N
5683	trời	N
5684	góc_bể	V
5685	bơ_vơ	N
5686	. Tấm_son	V
5687	gột_rửa	N
5688	bao_giờ	V
5689	cho	E
5690	phai	N
5691	. Xót	V
5692	người	N
5693	tựa	V
5694	cửa	N
5695	hôm_mai	V
5696	. Quạt	N
5697	nồng	V
5698	ấp	N
5699	lạnh	A
5700	những_ai	N
5701	đó	P
5702	giờ	N
5703	. Sân_Lai	V
5704	cách	V
5705	mấy	L
5706	nắng_mưa	N
5707	. Có_khi	V
5708	gốc_tử	N
5709	đã	R
5710	vừa	R
5711	người	N
5712	ôm	V
5713	. Buồn	N
5714	trông	V
5715	cửa_bể	V
5716	chiều	N
5717	hôm	N
5718	. Thuyền	M
5719	ai	P
5720	thấp_thoáng	V
5721	cánh	N
5722	buồm	N
5723	xa_xa	N
5724	. Buồn	N
5725	trông	V
5726	ngọn	Nc
5727	nước	N
5728	mới	R
5729	sa	V
5730	. Hoa	N
5731	trôi	V
5732	man_mác	R
5733	biết	V
5734	là	V
5735	về	V
5736	đâu	P
5737	. Buồn	N
5738	trông	V
5739	nội_cỏ	V
5740	dàu_dàu	N
5741	. Chân_mây	V
5742	mặt_đất	V
5743	một	M
5744	màu	N
5745	xanh_xanh	N
5746	. Buồn_trông	V
5747	gió	N
5748	cuốn	Nc
5749	mặt	N
5750	ghềnh	N
5751	. ầm_ầm	A
5752	tiếng	N
5753	sóng	N
5754	kêu	V
5755	quanh	N
5756	ghế	N
5757	ngồị	N
5758	. Chung_quanh	V
5759	những	L
5760	nước_non	N
5761	người	N
5762	. Đau_lòng	V
5763	lưu_lạc	N
5764	nên	C
5765	vài_bốn	V
5766	câuNgậm	N
5767	ngùi	V
5768	rủ	V
5769	bước	V
5770	rèm	V
5771	châu	N
5772	. Cách	V
5773	tường	N
5774	nghe	V
5775	có	V
5776	tiếng	N
5777	đâu	P
5778	họa_vần	V
5779	.	CH
5780	Một	M
5781	chàng	N
5782	vừa	R
5783	trạc	V
5784	thanh_xuân	N
5785	. Hình_dong	V
5786	chải_chuốt	N
5787	áo	N
5788	khăn	N
5789	dịu_dàng	V
5790	. Nghĩ	V
5791	rằng	C
5792	cũng	R
5793	mạch	V
5794	thư_hương	N
5795	. Hỏi	V
5796	ra	V
5797	mới	R
5798	biết	V
5799	rằng	C
5800	chàng	Nc
5801	Sở_Khanh	Np
5802	. Bóng_Nga	V
5803	thấp_thoáng	N
5804	dưới	E
5805	mành	N
5806	. Trông	N
5807	nàng	N
5808	chàng	N
5809	cũng	R
5810	ra	V
5811	tình	N
5812	đeo_đai	V
5813	. Than_ôi	N
5814	!	CH
5815	sắc_nước	V
5816	hương_trời	N
5817	. Tiếc	V
5818	cho	E
5819	đâu	P
5820	bỗng	R
5821	lạc_loài	V
5822	đến	E
5823	đây	P
5824	. Giá	V
5825	đành	V
5826	trong	E
5827	nguyệt	N
5828	trên	E
5829	mây	N
5830	. Hoa_sao	V
5831	hoa	N
5832	khéo	A
5833	đọa_đày	V
5834	bấy	V
5835	hoa	N
5836	. Tức	V
5837	gan	N
5838	riêng	A
5839	giận	V
5840	trời_già	N
5841	. Lòng	N
5842	này	P
5843	ai	P
5844	tỏ	V
5845	cho	E
5846	ta	P
5847	hỡi	V
5848	lòng	N
5849	. Thuyền_quyên	V
5850	ví	N
5851	biết	V
5852	anh_hùng	V
5853	. Ra_tay	N
5854	tháo	V
5855	cũi	N
5856	sổ_lồng	A
5857	như	C
5858	chơi	V
5859	!	CH
5860	. Song_thu	N
5861	đã	R
5862	khép	V
5863	cánh	N
5864	ngoài	N
5865	. Tai	N
5866	còn	R
5867	đồng_vọng	V
5868	mấy	L
5869	lời	N
5870	sắt_đanh	V
5871	. Nghĩ	V
5872	người	N
5873	thôi	T
5874	lại	R
5875	nghĩ	V
5876	mình	P
5877	. Cám	V
5878	lòng	N
5879	chua_xót	V
5880	nhạt	N
5881	tình	N
5882	chơ_vơ	V
5883	.	CH
5884	Những	L
5885	là	V
5886	lần_lữa	N
5887	nắng_mưa	V
5888	. Kiếp_phong_trần	N
5889	biết	V
5890	bao_giờ	N
5891	mới	R
5892	thôi	V
5893	. Đánh_liều	N
5894	nhắn	V
5895	một	M
5896	hai	M
5897	lời	N
5898	. Nhờ	V
5899	tay	N
5900	tế_độ	N
5901	vớt	V
5902	người	N
5903	trầm_luân	V
5904	. Mảnh_tiên	A
5905	kể	V
5906	hết	V
5907	xa_gần	N
5908	.	CH
5909	Nỗi	N
5910	nhà	N
5911	báo_đáp	V
5912	nỗi	N
5913	thân	A
5914	lạc_loài	V
5915	. Tan	N
5916	sương	N
5917	vừa	R
5918	rạng	V
5919	ngày_mai	N
5920	. Tiện	V
5921	hồng	N
5922	nàng	N
5923	mới	R
5924	nhắn	V
5925	lời	N
5926	gửi	V
5927	sang	V
5928	. Trời	N
5929	tây	N
5930	lãng_đãng	V
5931	bóng_vàng	N
5932	. Phúc_thư	N
5933	đã	R
5934	thấy	V
5935	tin	N
5936	chàng	N
5937	đến	V
5938	nơi	N
5939	. Mở	V
5940	xem	V
5941	một	M
5942	bức	Nc
5943	tiên	N
5944	mai	N
5945	. Rành_rành tích	V
5946	việt	N
5947	có	V
5948	hai	M
5949	chữ	N
5950	đề	N
5951	. Lấy	V
5952	trong	E
5953	ý_tứ	N
5954	mà	C
5955	suy	V
5956	.	CH
5957	Ngày	N
5958	hai_mươi	M
5959	mốt	N
5960	tuất	V
5961	thì	C
5962	phải	V
5963	chăng	V
5964	. Chim	N
5965	hôm	N
5966	thoi_thót	V
5967	về	E
5968	rừng	N
5969	. Đóa	N
5970	trà_mi	N
5971	đã	R
5972	ngậm	V
5973	trăng	N
5974	nửa	N
5975	vành	N
5976	. Tường	N
5977	đông	A
5978	lay_động	V
5979	bóng	N
5980	cành	N
5981	. Rẽ	N
5982	song	C
5983	đã	R
5984	thấy	V
5985	Sở_Khanh	Np
5986	lẻn	V
5987	vào	E
5988	. Sượng_sùng	N
5989	đánh_dạn	V
5990	ra	V
5991	chào	V
5992	. Lạy	N
5993	thôi	T
5994	nàng	N
5995	mới	R
5996	rỉ_tai	V
5997	ân_cần	N
5998	. Rằng	N
5999	Tôi	P
6000	bèo_bọt	V
6001	chút_thân	V
6002	. Lạc_đàn	N
6003	mang	V
6004	lấy	V
6005	nợ_nần	N
6006	yến_anh	N
6007	. Dám	A
6008	nhờ	V
6009	cốt_nhục	V
6010	tử_sinh	N
6011	.	CH
6012	Còn	V
6013	nhiều	A
6014	kết	V
6015	cỏ	N
6016	ngậm_vành	V
6017	về	E
6018	sau	N
6019	!	CH
6020	. Lặng	N
6021	nghe	V
6022	lẩm_nhẩm	N
6023	gật	V
6024	đầu	N
6025	. Ta_đây	V
6026	phải	V
6027	mượn	V
6028	ai	P
6029	đâu	P
6030	mà	C
6031	rằng	C
6032	!	CH
6033	. Nàng	V
6034	đà	N
6035	biết	V
6036	đến	E
6037	ta	P
6038	chăng	R
6039	. Bể_trầm_luân	V
6040	lấp	V
6041	cho	E
6042	bằng	E
6043	mới	A
6044	thôi	T
6045	!	CH
6046	. Nàng	V
6047	rằng	C
6048	Muôn_sự	Np
6049	ơn	V
6050	người	N
6051	. Thế_nào	V
6052	xin	V
6053	quyết	V
6054	một	M
6055	bài	N
6056	cho	E
6057	xong	V
6058	. Rằng_Ta	N
6059	có	V
6060	ngựa	N
6061	truy_phong	N
6062	. Có	V
6063	tên	N
6064	dưới	E
6065	trướng	N
6066	vốn	N
6067	dòng	N
6068	kiện_nhi	N
6069	. Thừa_cơ	V
6070	lẻn	V
6071	bước	V
6072	ra	V
6073	đi	V
6074	. Ba_mươi	V
6075	sáu	M
6076	chước	N
6077	chước	N
6078	gì	P
6079	là	C
6080	hơn	A
6081	. Dù	M
6082	khi	N
6083	gió	N
6084	kép	N
6085	mưa	V
6086	đơn	N
6087	. Có	V
6088	ta	P
6089	đây	P
6090	cũng	R
6091	chẳng	R
6092	cơn	N
6093	cớ	V
6094	gì	T
6095	!	CH
6096	.	CH
6097	Nghe	V
6098	lời	N
6099	nàng	N
6100	đã	R
6101	sinh	V
6102	nghi	V
6103	. Song	N
6104	đà	N
6105	quá_đỗi	V
6106	quản	N
6107	gì	P
6108	được	R
6109	thân	A
6110	.	CH
6111	Cũng	R
6112	liều	V
6113	nhắm_mắt	N
6114	đưa	V
6115	chân	N
6116	. Mà	N
6117	xem	V
6118	con_Tạo	N
6119	xoay_vần	V
6120	đến	E
6121	đâu	P
6122	!	CH
6123	.	CH
6124	Cùng	A
6125	nhau	N
6126	lẻn	V
6127	bước	V
6128	xuống	V
6129	lầu	N
6130	. Song_song	N
6131	ngựa	N
6132	trước	E
6133	ngựa	N
6134	sau	N
6135	một	M
6136	đoàn	Nc
6137	. Đêm	N
6138	thâu	V
6139	khắc_lậu	N
6140	canh_tàn	V
6141	. Gió	N
6142	cây	N
6143	trút	V
6144	lá	N
6145	trăng	N
6146	ngàn	M
6147	ngậm	V
6148	gương	N
6149	. Lối	N
6150	mòn	V
6151	cỏ	N
6152	nhợt	V
6153	mù_sương	N
6154	. Lòng	V
6155	quê	N
6156	đi	V
6157	một	M
6158	bước	N
6159	đường	N
6160	một	M
6161	đau	N
6162	. Tiếng	V
6163	gà	N
6164	xao_xác	V
6165	gáy	V
6166	mau	A
6167	. Tiếng	V
6168	người	N
6169	đâu	P
6170	đã	R
6171	mái	N
6172	sau	N
6173	dậy_dàng	N
6174	. Nàng	V
6175	càng	R
6176	thổn_thức	V
6177	gan_vàng	N
6178	. Sở_Khanh	N
6179	đã	R
6180	rẽ_dây_cương	V
6181	lối	N
6182	nào	T
6183	!	CH
6184	. Một_mình khôn	N
6185	biết	V
6186	làm_sao	N
6187	. Dặm	V
6188	rừng	N
6189	bước	N
6190	thấp	A
6191	bước	V
6192	cao	A
6193	hãi_hùng	V
6194	. Hóa_nhi	N
6195	thật	R
6196	có	V
6197	nỡ	V
6198	lòng	N
6199	. Làm_chi	V
6200	dày	A
6201	tía	N
6202	vò	V
6203	hồng	A
6204	lắm	R
6205	nau	T
6206	!	CH
6207	.	CH
6208	Một	M
6209	đoàn	N
6210	đổ	V
6211	đến	V
6212	trước	E
6213	sau	N
6214	. Vuốt	N
6215	đâu	P
6216	xuống	V
6217	đất	N
6218	cánh	N
6219	đâu	P
6220	lên	V
6221	trời	N
6222	. Tú_bà	V
6223	tốc	V
6224	thẳng	A
6225	đến	E
6226	nơi	N
6227	. Hầm_hầm	V
6228	áp_điệu	V
6229	một	M
6230	hơi	N
6231	lại	V
6232	nhà	N
6233	. Hung_hăng	V
6234	chẳng	R
6235	nói	V
6236	chẳng	R
6237	tra	V
6238	. Đang_tay	N
6239	vùi	V
6240	liễu	N
6241	giập	V
6242	hoa	N
6243	tơi_bời	N
6244	. Thịt	V
6245	da	N
6246	ai	P
6247	cũng	R
6248	là	V
6249	người	N
6250	. Lòng	N
6251	nào	P
6252	hồng	V
6253	rụng	N
6254	thắm	A
6255	rời	V
6256	chẳng	R
6257	đau	V
6258	. Hết_lời	V
6259	thú_phục	N
6260	khẩn_cầu	V
6261	. Uốn	N
6262	lưng	N
6263	thịt	N
6264	đổ	V
6265	cất_đầu	V
6266	máu	N
6267	sa	V
6268	. Rằng	N
6269	Tôi	P
6270	chút_phận	V
6271	đàn_bà	N
6272	. Nước_non	V
6273	lìa	V
6274	cửa	N
6275	lìa	V
6276	nhà	N
6277	đến	E
6278	đây	P
6279	. Bây_giờ	V
6280	sống_chết	N
6281	ở	E
6282	tay	N
6283	. Thân	N
6284	này	P
6285	đã	R
6286	đến	V
6287	thế	T
6288	này	P
6289	thì	C
6290	thôi	T
6291	!	CH
6292	.	CH
6293	Nhưng	C
6294	tôi	P
6295	có	V
6296	sá_chi	N
6297	tôi	P
6298	. Phận	V
6299	tôi	P
6300	đành_vậy	V
6301	vốn	N
6302	người	N
6303	để	E
6304	đâu	P
6305	. Thân	V
6306	lươn	N
6307	bao_quản	V
6308	lấm	N
6309	đầu	N
6310	. Chút	N
6311	lòng	N
6312	trinh_bạch	V
6313	từ	E
6314	sau	N
6315	xin	V
6316	chừa	V
6317	!	CH
6318	. Được_lời	V
6319	mụ	N
6320	mới	R
6321	tùy	V
6322	cơ	N
6323	. Bắt	V
6324	người	N
6325	bảo_lĩnh	V
6326	làm	V
6327	tờ	Nc
6328	cung_chiêu	N
6329	. Bày_vai	N
6330	có	V
6331	ả	N
6332	Mã_Kiều	Np
6333	. Xót	V
6334	nàng	N
6335	ra	V
6336	mới	R
6337	đánh_liều	V
6338	chịu	V
6339	đoan	V
6340	. Mụ	N
6341	càng	R
6342	kể	V
6343	nhặt	V
6344	kể	V
6345	khoan	V
6346	. Gạn_gùng	N
6347	đến	E
6348	mực	N
6349	nồng_nàn	N
6350	mới	R
6351	tha	V
6352	. Vực	V
6353	nàng	N
6354	vào	E
6355	nghỉ	V
6356	trong	E
6357	nhà	N
6358	. Mã_Kiều	V
6359	lại	R
6360	ngỏ	V
6361	ý	N
6362	ra	V
6363	dặn	V
6364	lời	N
6365	. Thôi	V
6366	đà	N
6367	mắc_lận	V
6368	thì	C
6369	thôi	T
6370	!	CH
6371	. Đi	V
6372	đâu	P
6373	chẳng	R
6374	biết	V
6375	con_người	V
6376	Sở_Khanh	Np
6377	. Bạc_tình	V
6378	nổi_tiếng	N
6379	lầu_xanh	V
6380	.	CH
6381	Một	M
6382	tay	N
6383	chôn	V
6384	biết_mấy	N
6385	cành	N
6386	phù_dung	N
6387	!	CH
6388	. Đà	N
6389	đào	V
6390	lập	V
6391	sẵn	A
